Country Name,Brunei Darussalam,Indonesia,Cambodia,Lao PDR,Myanmar,Malaysia,Philippines,Singapore,Thailand,Vietnam
2015,-0.488347421,6.363121131,1.223931955,1.277354271,9.454171895,2.104389802,0.674192537,-0.522618167,-0.900424963,0.631200905
2016,-0.278693266,3.525805157,3.019139751,1.596912276,6.928825258,2.090566595,1.253698801,-0.53226874,0.188149704,2.66824817
2017,-1.260505646,3.80879807,2.912635574,0.825478608,4.572536553,3.871201158,2.853187726,0.57626031,0.665631893,3.520256888
2018,1.025051793,3.198346416,2.459085154,2.040392669,6.872328657,0.884709161,5.309346616,0.438620118,1.063897542,3.539628059
2019,-0.390522069,3.03058665,1.942575008,3.322558813,8.825066968,0.662891866,2.392065344,0.565260569,0.706728601,2.795823675
2020,1.940319966,1.920968006,2.940295143,5.10407263,,-1.138702154,2.393162393,-0.181916667,-0.845937147,3.220934367
2021,1.733413885,1.560129905,2.920734776,3.755620367,,2.477102415,3.927180221,2.30485959,1.230395413,1.834715548
