Country Name,Brunei Darussalam,Indonesia,Cambodia,Lao PDR,Myanmar,Malaysia,Philippines,Singapore,Thailand,Vietnam
2015,27254603848,2.56E+12,49377507802,39733495399,2.08E+11,7.3E+11,8.18E+11,4.49E+11,1.03E+12,6.65E+11
2016,25364170400,2.66E+12,54385763728,44835845958,2.07E+11,7.62E+11,8.87E+11,4.71E+11,1.09E+12,7.28E+11
2017,27428959649,2.8E+12,58986036500,47800441428,2.19E+11,8.06E+11,9.48E+11,4.94E+11,1.15E+12,8E+11
2018,26687321434,3.02E+12,64537606120,52519996862,2.38E+11,8.63E+11,1.03E+12,4.99E+11,1.22E+12,8.86E+11
2019,28794177324,3.23E+12,71056602385,55519349514,2.58E+11,9.22E+11,1.11E+12,5.11E+11,1.29E+12,9.67E+11
2020,29567026045,3.21E+12,71067987648,56377221989,2.7E+11,8.85E+11,9.9E+11,4.91E+11,1.24E+12,1.01E+12
2021,,3.47E+12,75157303796,60142410066,2.32E+11,9.42E+11,1.05E+12,5.59E+11,1.3E+12,1.08E+12
