Country Name,Brunei Darussalam,Indonesia,Cambodia,Lao PDR,Myanmar,Malaysia,Philippines,Singapore,Thailand,Vietnam
2015,12930394938,8.61E+11,18049954289,14426381187,63045305229,3.01E+11,3.06E+11,3.08E+11,4.01E+11,2.39E+11
2016,11400854268,9.32E+11,20016747754,15912495369,60291736894,3.01E+11,3.19E+11,3.19E+11,4.13E+11,2.57E+11
2017,12128104859,1.02E+12,22177200512,17071162084,61449392056,3.19E+11,3.28E+11,3.43E+11,4.56E+11,2.81E+11
2018,13567351175,1.04E+12,24571753583,18141651381,67144725831,3.59E+11,3.47E+11,3.77E+11,5.07E+11,3.09E+11
2019,13469422959,1.12E+12,27089389787,18740559554,68697759361,3.65E+11,3.77E+11,3.75E+11,5.44E+11,3.3E+11
2020,12005825770,1.06E+12,25872798012,18981800705,78930257227,3.37E+11,3.62E+11,3.45E+11,5E+11,3.43E+11
2021,14006569576,1.19E+12,26961061120,18827148530,65067808985,3.73E+11,3.94E+11,3.97E+11,5.06E+11,3.63E+11
