Country Name,Brunei Darussalam,Indonesia,Cambodia,Lao PDR,Myanmar,Malaysia,Philippines,Singapore,Thailand,Vietnam
2015,2156649812,-17518744569,-1598447754,-2267608963,-3109126533,9067534382,7265677954,57574236721,27752906127,-2041000000
2016,1469939558,-16952255385,-1733542017,-1384744200,-1919047828,7132796677,-1198874442,56262606921,43438000974,625000000
2017,1984437362,-16195634380,-1807323272,-1259801184,-4916790033,8960171430,-2142968677,59382515343,43951862494,-1649000000
2018,939946758,-30633120324,-2895566487,-1648936579,-2561158569,8026400935,-8877047441,57124643985,28422528299,5899353000
2019,893758524.4,-30279059753,-4064575202,-1319568557,67720479.41,12795413587,-3046835247,54272512355,38043886985,13101247000
2020,513713114.6,-4433269738,-2197020727,-115229623.2,,14341526038,11578388371,58139144405,20278777876,15060000000
2021,,3430470526,-12338671748,,,12903886428,-6921970610,71926013224,-10582479406,-3812000000
